epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4027.34,1.05586,0.68804,1.09734,0.66202,0.5945,0.61228,0.35461,1.3543,0.73914,1.19097,6.08384e-05,6.08384e-05,6.08384e-05
55,4091.13,1.05339,0.68361,1.09619,0.66257,0.56061,0.57498,0.33687,1.3649,0.75537,1.2012,5.95712e-05,5.95712e-05,5.95712e-05
56,4155.02,1.05369,0.69191,1.0949,0.71251,0.56462,0.59615,0.35824,1.30421,0.72483,1.16657,5.8304e-05,5.8304e-05,5.8304e-05
57,4218.56,1.03467,0.67537,1.09554,0.66437,0.56091,0.60303,0.35547,1.31174,0.73701,1.17889,5.70368e-05,5.70368e-05,5.70368e-05
58,4282.73,1.03283,0.67261,1.08223,0.65074,0.55247,0.56424,0.34734,1.29535,0.73826,1.16687,5.57696e-05,5.57696e-05,5.57696e-05
59,4346.54,1.02377,0.66674,1.08373,0.57549,0.5921,0.58081,0.34792,1.34764,0.74635,1.18961,5.45024e-05,5.45024e-05,5.45024e-05
60,4409.97,1.0208,0.65704,1.0845,0.57701,0.56294,0.56315,0.34261,1.30879,0.76121,1.16948,5.32352e-05,5.32352e-05,5.32352e-05
61,4473.41,1.0342,0.65793,1.08233,0.66318,0.55321,0.57765,0.35075,1.2839,0.74305,1.15925,5.1968e-05,5.1968e-05,5.1968e-05
62,4537.09,1.004,0.65524,1.07152,0.63473,0.59659,0.58991,0.36005,1.25212,0.7282,1.14144,5.07008e-05,5.07008e-05,5.07008e-05
63,4600.97,1.01915,0.65213,1.07179,0.63242,0.597,0.59535,0.36395,1.25813,0.72304,1.14015,4.94336e-05,4.94336e-05,4.94336e-05
64,4665.17,1.00216,0.63391,1.07082,0.61855,0.5913,0.58401,0.35723,1.27106,0.73889,1.14586,4.81664e-05,4.81664e-05,4.81664e-05
65,4728.91,0.99491,0.63616,1.06832,0.71131,0.5831,0.59421,0.362,1.26366,0.72465,1.13168,4.68992e-05,4.68992e-05,4.68992e-05
66,4792.39,0.99375,0.63701,1.06232,0.6451,0.61689,0.62313,0.3753,1.29369,0.70473,1.14681,4.5632e-05,4.5632e-05,4.5632e-05
67,4856.53,0.99673,0.6342,1.06505,0.65612,0.58989,0.60673,0.36609,1.28188,0.70882,1.14926,4.43648e-05,4.43648e-05,4.43648e-05
68,4920.34,0.98209,0.62806,1.05718,0.65367,0.59049,0.61028,0.36927,1.27108,0.71365,1.14683,4.30976e-05,4.30976e-05,4.30976e-05
69,4984.09,0.98498,0.62496,1.06454,0.64308,0.60421,0.62178,0.37586,1.22495,0.70437,1.12346,4.18304e-05,4.18304e-05,4.18304e-05
70,5048.24,0.97556,0.6166,1.05431,0.69141,0.57353,0.62178,0.37978,1.24073,0.68896,1.13591,4.05632e-05,4.05632e-05,4.05632e-05
71,5112.44,0.9847,0.62253,1.05943,0.62778,0.58347,0.59607,0.36355,1.26663,0.70692,1.14791,3.9296e-05,3.9296e-05,3.9296e-05
72,5176.27,0.97185,0.61615,1.06145,0.70711,0.56746,0.60391,0.37585,1.22638,0.68711,1.1293,3.80288e-05,3.80288e-05,3.80288e-05
73,5239.92,0.96229,0.60831,1.05212,0.64518,0.59574,0.61724,0.37959,1.24762,0.70107,1.14423,3.67616e-05,3.67616e-05,3.67616e-05
74,5303.49,0.96075,0.6076,1.05364,0.58245,0.61832,0.59675,0.3627,1.26556,0.70276,1.15189,3.54944e-05,3.54944e-05,3.54944e-05
75,5367.21,0.97042,0.60921,1.05629,0.65893,0.5973,0.61309,0.37434,1.24795,0.68667,1.13962,3.42272e-05,3.42272e-05,3.42272e-05
76,5430.74,0.94792,0.60802,1.04936,0.68599,0.58036,0.61315,0.37778,1.20901,0.68146,1.12521,3.296e-05,3.296e-05,3.296e-05
77,5494.04,0.94748,0.59765,1.0491,0.64076,0.57861,0.58775,0.36623,1.23954,0.69363,1.13376,3.16928e-05,3.16928e-05,3.16928e-05
78,5557.83,0.94114,0.59861,1.04503,0.59704,0.64344,0.60129,0.37329,1.21219,0.68567,1.12023,3.04256e-05,3.04256e-05,3.04256e-05
79,5621.52,0.93512,0.59448,1.04715,0.65754,0.57248,0.59356,0.37089,1.23563,0.68792,1.13131,2.91584e-05,2.91584e-05,2.91584e-05
80,5686.49,0.93914,0.58828,1.04054,0.64473,0.57307,0.58545,0.36625,1.24324,0.70384,1.12886,2.78912e-05,2.78912e-05,2.78912e-05
81,5750.17,0.92173,0.57775,1.03504,0.59956,0.62699,0.60237,0.37577,1.21759,0.68363,1.12457,2.6624e-05,2.6624e-05,2.6624e-05
82,5813.86,0.93414,0.58459,1.04031,0.62948,0.61076,0.60227,0.37251,1.2428,0.68322,1.14021,2.53568e-05,2.53568e-05,2.53568e-05
83,5877.24,0.91249,0.57267,1.03326,0.67856,0.57131,0.60785,0.37426,1.2501,0.68393,1.1427,2.40896e-05,2.40896e-05,2.40896e-05
84,5940.95,0.91991,0.58013,1.03923,0.6375,0.60089,0.60953,0.37688,1.21787,0.67462,1.13023,2.28224e-05,2.28224e-05,2.28224e-05
85,6005.41,0.91477,0.57544,1.03427,0.66721,0.58571,0.60858,0.37966,1.20741,0.66357,1.11701,2.15552e-05,2.15552e-05,2.15552e-05
86,6070.96,0.90979,0.56667,1.02361,0.66764,0.60781,0.60732,0.37861,1.20463,0.67645,1.12046,2.0288e-05,2.0288e-05,2.0288e-05
87,6135.59,0.90103,0.56694,1.03081,0.64458,0.60927,0.60384,0.37632,1.21479,0.68197,1.12222,1.90208e-05,1.90208e-05,1.90208e-05
88,6199.55,0.90304,0.56763,1.0236,0.62526,0.63201,0.61613,0.38316,1.21482,0.67448,1.12018,1.77536e-05,1.77536e-05,1.77536e-05
89,6264.09,0.89828,0.56413,1.02647,0.65385,0.62056,0.60719,0.37551,1.21025,0.67172,1.1153,1.64864e-05,1.64864e-05,1.64864e-05
90,6328.65,0.90017,0.56039,1.02996,0.65945,0.61005,0.60618,0.37591,1.22435,0.67771,1.11918,1.52192e-05,1.52192e-05,1.52192e-05
91,6418.85,0.93755,0.50847,1.02495,0.66179,0.60664,0.61965,0.37614,1.24627,0.69064,1.13668,1.3952e-05,1.3952e-05,1.3952e-05
92,6482.69,0.87684,0.46752,0.99649,0.62155,0.62529,0.60325,0.36858,1.2565,0.68279,1.13832,1.26848e-05,1.26848e-05,1.26848e-05
93,6546.73,0.87254,0.45864,0.99508,0.60026,0.61838,0.59928,0.3714,1.23394,0.67562,1.12494,1.14176e-05,1.14176e-05,1.14176e-05
94,6610.94,0.86111,0.4591,0.98896,0.61287,0.63088,0.6068,0.37643,1.2127,0.6619,1.11287,1.01504e-05,1.01504e-05,1.01504e-05
95,6677.7,0.84906,0.45427,0.98488,0.67189,0.61155,0.61137,0.3746,1.23744,0.67415,1.12471,8.8832e-06,8.8832e-06,8.8832e-06
96,6753.43,0.837,0.44917,0.97321,0.65486,0.62388,0.61513,0.37969,1.21916,0.664,1.11099,7.616e-06,7.616e-06,7.616e-06
97,6827.41,0.8396,0.44374,0.97561,0.62524,0.63682,0.61029,0.37921,1.21781,0.66525,1.11011,6.3488e-06,6.3488e-06,6.3488e-06
98,6898.91,0.83278,0.44377,0.9758,0.63578,0.62455,0.60839,0.37782,1.21827,0.67029,1.11052,5.0816e-06,5.0816e-06,5.0816e-06
99,6966.61,0.81278,0.43099,0.9635,0.61748,0.63244,0.61017,0.37979,1.2099,0.66724,1.10771,3.8144e-06,3.8144e-06,3.8144e-06
100,7040.59,0.82312,0.43749,0.96804,0.608,0.64149,0.60907,0.37737,1.22001,0.66768,1.11438,2.5472e-06,2.5472e-06,2.5472e-06
